gene,model,FSV,M,converged,lengthscale,max_delta,max_ll,max_mu_hat,max_s2_e_hat,max_s2_t_hat,n,s2_FSV,s2_logdelta,time,BIC
ENSG00000197971,SE,0.9977806231949988,4,True,1727.363647627855,0.0018049422312606278,-18383.356737266684,-226.41111798916228,312.85645761458943,173333.2248512357,4221,0.00035325070084016465,0.01908037766974904,0.004739999771118164,36800.1047839165
ENSG00000123560,SE,0.9948502354253996,4,True,1727.363647627855,0.0042004613959134435,-17381.79865460549,-101.76142875296898,198.75400701913435,47317.18453894105,4221,0.0008886264674436138,0.040343665657944186,0.004247426986694336,34796.98861859411
ENSG00000131095,SE,0.9934060169177782,4,True,1727.363647627855,0.005386273126732258,-17958.56839607597,-13.045303918671994,262.5759702462302,48749.10055025927,4221,0.001538359832642497,0.037980239678441635,0.003776073455810547,35950.52810153507
ENSG00000110484,SE,0.9844894350058656,4,True,1727.363647627855,0.012784504117266561,-20456.32977147228,-28.83270059438052,871.2789320328053,68151.1714526392,4221,0.005936791933443227,0.052488239790916616,0.0037636756896972656,40946.05085232769
ENSG00000111341,SE,0.9778480430744633,4,True,1727.363647627855,0.018382647384740436,-15998.605549752318,17.77507982627354,106.03424902883745,5768.170754167717,4221,0.008055467709450847,0.07678944022822705,0.00472569465637207,32030.602408887764
ENSG00000109846,SE,0.966934909900165,4,True,1727.363647627855,0.027748518416617674,-15366.551678484004,-11.65586840415494,79.09451994255005,2850.4051551517414,4221,0.011011029519194063,0.11975103116123513,0.005224943161010742,30766.494666351136
ENSG00000170421,SE,0.9328051168223758,4,True,1727.363647627855,0.05845378164037155,-13639.357230407131,-0.16839827590466203,35.26356323016199,603.2725726303898,4221,0.05107668297734073,0.0931211223189691,0.004328489303588867,27312.10577019739
ENSG00000163631,SE,0.8809535446250083,4,True,1727.363647627855,0.10965559374413508,-6806.2625758788845,1.2880622112994702,1.3955804387606223,12.726942521664698,4221,0.15477994243601537,0.0790948337321338,0.004252910614013672,13645.9164611409
ENSG00000168314,SE,0.7305172689350744,4,True,1727.363647627855,0.2993420872609796,-11931.360949306545,0.4420425306293792,16.01090078114515,53.48696846356303,4221,0.10165262616749696,0.3573695195563721,0.0047681331634521484,23896.11320799622
ENSG00000251562,SE,0.7186599532486732,4,True,1727.363647627855,0.3176694417590858,-17032.811532887878,25.032923687443237,179.6624767924526,565.5642412363511,4221,0.4331832051358334,0.08762376147955601,0.004327058792114258,34099.014375158884
